query,tag,shell,command,note
"show files only, show folders only",,cmd,dir /ad dir/a-d,
"output simple display (no datelastmodified, filesize), check subfolders",,cmd,dir /b /s,/b simple display
,,,,/s check subfolders recursively
"search using wildcards (^startswith, ? single char, * preceding character 0 or more times)",,cmd,dir *.txt,Wildcards may yield unexpected results - see Remarks -  https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/dir
search for pattern of text in a file,,cmd,findstr (/v does not match), https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/findstr
,,,Findstr /s /i xyz *,Search all files in the current directory & subdirectories for the text 'xyz' regardless of letter case
,,,,/i ignore case
,,,,*  or *.* all files
pipe,,cmd,command A | command B,use output from command A as input for command B
search current directory using regex,,cmd,"dir /b *.txt | findstr ""regex""","findstr support for regex is limited and nonstandard (alternatives grep, ack, silver searcher, powershells select-string)  https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/findstr"
search other directory using regex,,cmd,"dir c:\temp | findstr ""regex""","findstr support for regex is limited and nonstandard (alternatives grep, ack, silver searcher, powershells select-string)  https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/findstr"
search multiple directories using regex,,cmd,"dir /b/s c:\temp;c:\perflogs | findstr ""regex""","findstr support for regex is limited and nonstandard (alternatives grep, ack, silver searcher, powershells select-string)  https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/findstr"
search using multiple search keys,,,"OR - findstr ""regex1 regex2""",https://superuser.com/questions/909127/findstr-dos-commands-multiple-string-argument
,,,AND - findstr regex1 | findstr regex2,
multiple commands in single line,,,https://stackoverflow.com/questions/8055371/how-do-i-run-two-commands-in-one-line-in-windows-cmd,cmd1 & cmd2 - always run second command
,,,,cmd1 && cmd2 - only run second command if 1st command is successful
,,,,cmd1  || cmd2 - only run second command if 1st command failed
dump results to file,,cmd,> filename,
loop,,cmd,"for /L %i in (1, 1, 5) do echo %i",For Loop structure
,,,,For /L - loop structure
,,,https://ss64.com/nt/for.html,%i - variable i
,,,https://ss64.com/nt/syntax-loops.html,"(1, 1 ,5) - (start, increment, end)"
,,,https://ss64.com/nt/for_cmd.html,Do -  loop structure
,,,,
display results in a table,,cmd,,
"show files only, show folders only",,bash,"find -maxdepth 1 -type f,",https://stackoverflow.com/questions/10574794/how-to-list-only-files-and-not-directories-of-a-directory-bash
,,,find -type d,https://www.cyberciti.biz/faq/linux-list-just-directories-or-directory-names/
,,,ls -l | grep -v '^d',
Search multiple directories using filename,,Bash,"find . -name ""search key""",
"output 1 file per line, check subfolders, show path",,bash,"ls  (-l -R) ,",-l output 1 file per line
,,,ls -d $PWD/* ,-R recursive
,,,OR find $PWD/*,$PWD/* show path
,,,,-d current directory
,,,,https://superuser.com/questions/1799538/ls-r-instead-of-find
search for pattern of text in a file,,bash,grep searchkey filename, grep -r xyz . (search recursively for 'xyz' )  why the dot?
search current directory using regex,,bash,ls (or find) | grep regex,"https://askubuntu.com/questions/1387118/ls-with-wildcard-with-subdirectories#:~:text=Wildcards%20in%20linux%20are%20expanded,the%20contents%20of%20a%20folder."
,,,,Review find
search other directory using regex,,bash,"find c:temp | grep ""regex""",
search multiple directories using regex,,bash,"find c:/temp c:/perflogs | grep ""regex""",
search using multiple search keys,,bash,find c:/temp | grep 'pattern1\|pattern2\|pattern3',"https://phoenixnap.com/kb/grep-multiple-strings#:~:text=The%20basic%20grep%20syntax%20when,before%20pipe%20%7C%20for%20regular%20expressions."
multiple commands in single line,,bash,https://dev.to/bitecode/run-multiple-commands-in-one-line-with-and-linux-tips-5hgm,cmd1; cmd2 - always run second command
,,,,cmd1 && cmd2 - only run second command if 1st command is successful
,,,,cmd1  || cmd2 - only run second command if 1st command failed
dump results to file, ,Bash, > filename,
loop,,bash,for ((i=1; i<=5; i++)) do echo $i; done,
display results in a table,,bash,Command | column -t,
